,Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs),Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
266,Denmark,MOROCCO,RABAT,0,0,0,0,0,352338,353487,5652,42.2%,1,296,15.0%,"1,971","1,622",296,15.0%,0.0
1347,Poland,BELARUS,MINSK,0,0,0,0,0,1793126,1799699,26222,82.4%,10,343,0.2%,"143,73","143,387",343,0.2%,0.0
1681,Spain,MALAYSIA,KUALA LUMPUR,0,0,0,0,0,2238291,2246540,32578,4.1%,0,5,0.8%,632,604,5,0.8%,0.0
1352,Poland,CANADA,MONTREAL,0,0,0,0,0,1799790,1806388,26317,36.6%,0,1,1.4%,72,71,1,1.4%,0.0
242,Denmark,DENMARK,COPENHAGEN,0,0,0,0,0,320350,321379,5196,31.4%,2,7,0.9%,750,722,7,0.9%,0.0
1641,Spain,EQUATORIAL GUINEA,MALABO,6,5,0,0,0,2184978,2193026,31816,24.3%,"1,064","1,877",21.1%,"8,908","6,159","1,877",21.1%,0.0
812,Hungary,AUSTRIA,VIENNA,0,0,0,0,0,1080063,1083951,16042,0,0,0,0,4,4,0,0,0.0
665,Germany,SENEGAL,DAKAR,0,0,0,0,0,884137,887288,13245,47.9%,4,1076,36.6%,"2,943","1,867","1,076",36.6%,0.0
1038,Italy,USA,"WASHINGTON, DC",0,0,0,0,0,1381282,1386304,20342,60.1%,0,24,2.4%,982,958,24,2.4%,0.0
501,France,SAUDI ARABIA,RIYADH,5,3,0,2,40.0%,665553,667881,10124,72.1%,62,4037,5.8%,"69,122","64,278","4,039",5.8%,0.0
1663,Spain,HUNGARY,BUDAPEST,3,3,0,0,0,2214300,2222458,32235,0,0,0,0,5,4,0,0,0.0
287,Denmark,UNITED ARAB EMIRATES,DUBAI,0,0,0,0,0,380328,381582,6052,77.4%,5,214,6.6%,"3,226","2,995",214,6.6%,0.0
690,Germany,UNITED ARAB EMIRATES,DUBAI,4,3,2,1,25.0%,917458,920734,13720,98.7%,840,5369,18.0%,"29,871","24,501","5,37",18.0%,0.0
241,Denmark,CHINA,SHANGHAI,0,0,0,0,0,319018,320041,5176,23.5%,2,428,2.5%,"17,316","16,489",428,2.5%,0.0
1183,Netherlands,FRANCE,PARIS,0,0,0,0,0,1574542,1580292,23101,100.0%,0,1,50.0%,2,1,1,50.0%,0.0
1053,Latvia,INDIA,NEW DELHI,0,0,0,0,0,1401274,1406372,20628,18.8%,7,843,45.0%,"1,873",998,843,45.0%,0.0
1573,Slovenia,CHINA,BEIJING,0,0,0,0,0,2094345,2102052,30523,69.8%,3,244,6.3%,"3,879","3,635",244,6.3%,0.0
1621,Spain,CAPE VERDE,CIDADE DA PRAIA,0,0,0,0,0,2158321,2166269,31436,25.5%,0,358,32.6%,"1,097",679,358,32.6%,0.0
906,Italy,BRAZIL,BELO HORIZONTE,0,0,0,0,0,1205349,1209709,17830,45.5%,0,0,0,11,11,0,0,0.0
629,Germany,MEXICO,MEXICO CITY,69,67,51,2,2.9%,836155,839125,12560,92.8%,4,1,0.5%,254,251,3,1.2%,0.0
1009,Italy,SRI LANKA,COLOMBO,1,1,0,0,0,1342630,1347507,19790,25.3%,2,"1,381",23.6%,"5,86","4,479","1,381",23.6%,0.0
1456,Portugal,CHINA,BEIJING,1,1,0,0,0,1938404,1945524,28296,34.7%,5,668,5.3%,"12,694","12,026",668,5.3%,0.0
492,France,PERU,LIMA,1,1,0,0,0,653558,655840,9953,7.8%,0,5,3.5%,143,129,5,3.5%,0.0
326,Finland,GREECE,ATHENS,0,0,0,0,0,432308,433758,6794,0,3,0,0,3,3,0,0,0.0
1800,Sweden,SUDAN,KHARTOUM,0,0,0,0,0,2396897,2405743,34842,0,0,0,0,19,0,0,0,0.0
1584,Slovenia,RUSSIAN FEDERATION,MOSCOW,0,0,0,0,0,2109006,2116768,30732,96.7%,5,152,1.4%,"10,696","10,544",152,1.4%,0.0
1858,Switzerland,KYRGYZSTAN,BISHKEK,0,0,0,0,0,2474201,2483338,35946,14.9%,2,376,7.9%,"4,759","4,383",376,7.9%,0.0
1405,Poland,RUSSIAN FEDERATION,MOSCOW,0,0,0,0,0,1870430,1877294,27326,56.2%,14,"1,014",2.5%,"39,936","38,922","1,014",2.5%,0.0
866,Hungary,TAIWAN,TAIPEI,0,0,0,0,0,1152036,1156195,17069,44.0%,0,1,3.8%,26,25,1,3.8%,0.0
245,Denmark,FINLAND,HELSINKI,0,0,0,0,0,324349,325392,5253,6.7%,0,0,0,18,15,0,0,0.0
1065,Latvia,USA,"WASHINGTON, DC",0,0,0,0,0,1417268,1422426,20856,45.7%,1,1,1.4%,72,71,1,1.4%,0.0
1769,Sweden,GERMANY,BERLIN,0,0,0,0,0,2355580,2364270,34252,0,0,0,0,23,0,0,0,0.0
126,Belgium,SINGAPORE,SINGAPORE,0,0,0,0,0,165742,166189,2988,39.1%,0,5,0.5%,915,888,5,0.5%,0.0
219,Czech Republic,TURKEY,ISTANBUL,0,0,0,0,0,289695,290608,4758,8.8%,6,718,7.0%,"10,313","9,595",718,7.0%,0.0
1346,Poland,BELARUS,GRODNO,0,0,0,0,0,1791793,1798361,26203,91.1%,17,49,0.1%,"60,178","60,129",49,0.1%,0.0
143,Belgium,USA,"LOS ANGELES, CA",0,0,0,0,0,188400,188932,3312,27.8%,1,1,0.1%,"1,238","1,212",1,0.1%,0.0
1662,Spain,HONG KONG S.A.R.,HONG KONG,0,0,0,0,0,2212967,2221120,32216,21.6%,0,15,1.1%,"1,318","1,298",15,1.1%,0.0
1371,Poland,GEORGIA,TBILISSI,0,0,0,0,0,1825114,1831807,26679,34.9%,0,37,46.3%,80,43,37,46.3%,0.0
1250,Netherlands,SOUTH KOREA,SEOUL,3,2,2,0,0,1663842,1669928,24376,97.4%,0,45,19.0%,240,192,45,18.8%,0.0
1783,Sweden,LIBERIA,MONROVIA,0,0,0,0,0,2374239,2383000,34519,8.1%,0,0,0,78,74,0,0,0.0
855,Hungary,RUSSIAN FEDERATION,KAZAN,0,0,0,0,0,1137374,1141479,16860,55.5%,0,11,0.3%,"4,102","4,091",11,0.3%,0.0
362,Finland,TUNISIA,TUNIS,0,0,0,0,0,480290,481920,7479,17.2%,4,571,28.6%,"1,998","1,415",571,28.6%,0.0
322,Finland,ESTONIA,TALLINN,0,0,0,0,0,426977,428407,6718,100.0%,0,0,0,4,4,0,0,0.0
1373,Poland,GREECE,ATHENS,0,0,0,0,0,1827780,1834483,26717,0,0,1,50.0%,2,1,1,50.0%,0.0
1394,Poland,NEW ZEALAND,WELLINGTON,0,0,0,0,0,1855769,1862578,27116,37.1%,0,0,0,35,35,0,0,0.0
871,Hungary,UKRAINE,BEREHOVE,0,0,0,0,0,1158700,1162884,17164,87.5%,0,155,6.3%,"2,445","2,29",155,6.3%,0.0
1186,Netherlands,GHANA,ACCRA,283,199,175,57,20.1%,1578541,1584306,23158,86.0%,9,"7,587",41.1%,"18,721","10,93","7,644",40.8%,0.0
515,France,SYRIA,ALEPPO,0,0,0,0,0,684213,686611,10390,0,0,1,0,0,0,1,0,0.0
607,Germany,IRAQ,ERBIL,0,0,0,0,0,806833,809693,12141,73.5%,15,14100,55.0%,"25,647","11,547","14,1",55.0%,0.0
1869,Switzerland,PERU,LIMA,0,0,0,0,0,2488863,2498055,36155,70.4%,0,4,12.9%,31,27,4,12.9%,0.0
1781,Sweden,KENYA,NAIROBI,0,0,0,0,0,2371574,2380324,34480,14.2%,26,465,25.6%,"1,817","1,304",465,25.6%,0.0
1252,Netherlands,SUDAN,KHARTOUM,3,2,2,1,33.3%,1666507,1672604,24414,88.8%,76,476,25.0%,"1,909","1,367",477,25.0%,0.0
292,Estonia,BELARUS,MINSK,0,0,0,0,0,386992,388271,6147,68.7%,9,79,0.6%,"12,475","12,396",79,0.6%,0.0
498,France,RWANDA,KIGALI,0,0,0,0,0,661555,663868,10067,0,2,4,3.4%,118,109,4,3.4%,0.0
1460,Portugal,CROATIA,ZAGREB,0,0,0,0,0,1943736,1950876,28372,50.0%,0,0,0,4,4,0,0,0.0
1113,Luxembourg,LUXEMBOURG,LUXEMBOURG,0,0,0,0,0,1481244,1486643,21769,64.9%,0,2,5.1%,39,37,2,5.1%,0.0
1682,Spain,MALI,BAMAKO,5,3,0,2,40.0%,2239624,2247877,32597,33.6%,43,396,26.5%,"1,502","1,062",398,26.5%,0.0
233,Denmark,AUSTRIA,VIENNA,0,0,0,0,0,308355,309338,5024,90.0%,0,0,0,12,10,0,0,0.0
1761,Sweden,CHINA,SHANGHAI,0,0,0,0,0,2344917,2353567,34100,7.8%,100,452,1.6%,"28,9","28,159",452,1.6%,0.0
1850,Switzerland,ISRAEL,TEL AVIV,0,0,0,0,0,2463539,2472636,35793,44.9%,0,2,0.9%,227,225,2,0.9%,0.0
1549,Slovakia,ROMANIA,BUCHAREST,0,0,0,0,0,2062357,2069944,30066,81.0%,1,0,0,64,64,0,0,0.0
124,Belgium,SENEGAL,DAKAR,2,0,0,0,0,163077,163513,2950,33.9%,0,1890,55.1%,"3,433","1,379","1,89",55.1%,0.0
372,France,ALGERIA,ALGIERS,435,435,0,0,0,493618,495299,7669,29.8%,170,123565,45.8%,"269,977","144,978","123,565",45.8%,0.0
623,Germany,LEBANON,BEIRUT,15,12,12,3,20.0%,828158,831098,12445,97.6%,189,3412,31.1%,"10,986","7,571","3,415",31.1%,0.0
1165,Netherlands,CHILE,SANTIAGO DE CHILE,0,0,0,0,0,1550551,1556211,22759,100.0%,0,11,24.4%,45,33,11,24.4%,0.0
1353,Poland,CANADA,OTTAWA,0,0,0,0,0,1801123,1807726,26336,54.3%,0,1,2.8%,36,35,1,2.8%,0.0
823,Hungary,ECUADOR,QUITO,0,0,0,0,0,1094724,1098668,16251,47.2%,0,7,3.8%,183,176,7,3.8%,0.0
1591,Spain,AFGHANISTAN,KABUL,1,1,0,0,0,2118336,2126133,30865,75.0%,50,4,6.7%,61,55,4,6.6%,0.0
444,France,INDIA,NEW DELHI,30,21,0,8,26.7%,589582,591624,9039,12.1%,1,10663,15.0%,"71,252","59,883","10,671",15.0%,0.0
1033,Italy,USA,"LOS ANGELES, CA",0,0,0,0,0,1374618,1379615,20247,30.0%,0,24,1.6%,"1,502","1,478",24,1.6%,0.0
1845,Switzerland,GREECE,ATHENS,0,0,0,0,0,2456875,2465946,35698,100.0%,1,2,33.3%,6,4,2,33.3%,0.0
1782,Sweden,LEBANON,BEIRUT,0,0,0,0,0,2372906,2381662,34500,25.1%,116,892,38.8%,"2,297","1,313",892,38.8%,0.0
713,Greece,ARGENTINA,BUENOS AIRES,0,0,0,0,0,948113,951504,14158,50.0%,1,2,9.5%,21,19,2,9.5%,0.0
471,France,MONGOLIA,ULAN BATOR,0,0,0,0,0,625568,627746,9553,14.6%,0,610,19.3%,"3,159","2,524",610,19.3%,0.0
518,France,THAILAND,BANGKOK,0,0,0,0,0,688211,690624,10447,43.3%,1,1276,2.1%,"62,12","60,409","1,276",2.1%,0.0
1035,Italy,USA,"NEW YORK, NY",0,0,0,0,0,1377284,1382291,20285,13.0%,2,66,2.0%,"3,265","3,199",66,2.0%,0.0
391,France,BRAZIL,SAO PAULO,3,0,0,5,166.7%,518942,520718,8031,8.9%,0,51,22.8%,227,169,56,24.7%,0.0
1380,Poland,IRELAND,DUBLIN,0,0,0,0,0,1837109,1843848,26850,37.8%,3,19,5.5%,347,328,19,5.5%,0.0
1758,Sweden,BOSNIA AND HERZEGOVINA,SARAJEVO,0,0,0,0,0,2340919,2349554,34043,45.5%,0,2,15.4%,13,11,2,15.4%,0.0
1336,Norway,VIETNAM,HANOI,0,0,0,0,0,1778465,1784983,26013,9.0%,12,190,9.0%,"2,112","1,922",190,9.0%,0.0
714,Greece,ARMENIA,YEREVAN,0,0,0,0,0,949446,952842,14177,24.1%,7,1550,11.5%,"13,535","11,985","1,55",11.5%,0.0
91,Belgium,HONG KONG S.A.R.,HONG KONG,0,0,0,0,0,119093,119364,2322,71.4%,0,23,3.7%,622,588,23,3.7%,0.0
392,France,BULGARIA,SOFIA,0,0,0,0,0,520275,522056,8050,2.0%,0,15,5.6%,270,245,15,5.6%,0.0
1245,Netherlands,SLOVENIA,LJUBLJANA,0,0,0,0,0,1657178,1663239,24281,0,0,0,0,1,1,0,0,0.0
1544,Slovakia,KUWAIT,KUWAIT,0,0,0,0,0,2055693,2063255,29971,99.6%,0,13,1.6%,818,805,13,1.6%,0.0
526,France,UNITED ARAB EMIRATES,DUBAI,13,5,0,7,53.8%,698874,701327,10600,29.0%,106,4403,16.6%,"26,504","21,788","4,41",16.6%,0.0
1648,Spain,FRANCE,PARIS,0,0,0,0,0,2194307,2202391,31950,60.7%,3,0,0,246,237,0,0,0.0
274,Denmark,ROMANIA,BUCHAREST,0,0,0,0,0,363001,364190,5804,28.0%,0,4,13.3%,30,25,4,13.3%,0.0
1296,Norway,ETHIOPIA,ADDIS ABEBA,0,0,0,0,0,1725152,1731469,25252,0,5,2,100.0%,2,10,2,100.0%,0.0
1684,Spain,MAURITANIA,NOUAKCHOTT,2,2,0,0,0,2242289,2250553,32635,43.4%,61,"1,583",16.9%,"9,353","6,967","1,583",16.9%,0.0
576,Germany,COLOMBIA,BOGOTA,15,15,12,0,0,765515,768220,11551,100.0%,13,7,6.3%,127,120,7,5.5%,0.0
617,Germany,KENYA,NAIROBI,1,1,1,0,0,820161,823071,12331,28.4%,16,990,16.1%,"6,143","5,153",990,16.1%,0.0
459,France,KENYA,NAIROBI,1,1,0,0,0,609574,611692,9325,24.6%,2,310,6.1%,"5,06","4,65",310,6.1%,0.0
957,Italy,ISRAEL,JERUSALEM,0,0,0,0,0,1273323,1277939,18801,16.0%,35,109,3.6%,"2,997","2,888",109,3.6%,0.0
1590,Slovenia,USA,"WASHINGTON, DC",0,0,0,0,0,2117003,2124796,30846,100.0%,3,1,1.0%,104,103,1,1.0%,0.0
225,Czech Republic,USA,"LOS ANGELES, CA",0,0,0,0,0,297692,298636,4872,13.3%,3,4,0.8%,503,499,4,0.8%,0.0
1466,Portugal,GERMANY,BERLIN,0,0,0,0,0,1951733,1958903,28486,25.0%,0,2,33.3%,6,4,2,33.3%,0.0
226,Czech Republic,USA,"NEW YORK, NY",0,0,0,0,0,299025,299973,4891,22.8%,9,0,0,780,780,0,0,0.0
620,Germany,KYRGYZSTAN,BISHKEK,0,0,0,0,0,824160,827085,12388,14.8%,2,767,6.9%,"11,064","10,297",767,6.9%,0.0
548,Germany,ARGENTINA,BUENOS AIRES,20,20,20,0,0,728196,730760,11018,100.0%,5,2,3.2%,83,81,2,2.4%,0.0
1787,Sweden,MOZAMBIQUE,MAPUTO,0,0,0,0,0,2379571,2388351,34595,0,0,0,0,20,0,0,0,0.0
1419,Poland,TUNISIA,TUNIS,0,0,0,0,0,1889090,1896024,27592,29.4%,0,155,23.8%,652,497,155,23.8%,0.0
1409,Poland,SERBIA,BELGRADE,0,0,0,0,0,1875761,1882645,27402,69.4%,2,16,13.8%,116,100,16,13.8%,0.0
765,Greece,NORTH MACEDONIA,BITOLA,0,0,0,0,0,1017420,1021072,15147,54.1%,0,7,15.9%,44,37,7,15.9%,0.0
332,Finland,ISRAEL,TEL AVIV,0,0,0,0,0,440305,441785,6908,25.3%,32,14,9.5%,147,131,14,9.5%,0.0
75,Belgium,CHINA,BEIJING,0,0,0,0,0,97768,97959,2018,40.1%,4,777,2.9%,"26,525","25,599",777,2.9%,0.0
158,Czech Republic,BRAZIL,BRASILIA,0,0,0,0,0,208393,209000,3597,0,0,0,0,4,4,0,0,0.0
1306,Norway,JORDAN,AMMAN,0,0,0,0,0,1738480,1744847,25442,21.9%,24,50,17.1%,293,243,50,17.1%,0.0
339,Finland,MEXICO,MEXICO CITY,0,0,0,0,0,449635,451150,7041,41.7%,0,0,0,13,12,0,0,0.0
837,Hungary,KENYA,NAIROBI,0,0,0,0,0,1113383,1117397,16518,19.3%,0,26,9.3%,280,254,26,9.3%,0.0
880,Hungary,UZBEKISTAN,TASHKENT,0,0,0,0,0,1170695,1174925,17336,12.3%,2,398,29.5%,"1,351",953,398,29.5%,0.0
897,Italy,AUSTRALIA,SYDNEY,0,0,0,0,0,1193353,1197668,17659,20.6%,1,3,0.2%,"1,394","1,391",3,0.2%,0.0
333,Finland,ITALY,ROME,0,0,0,0,0,441638,443123,6927,0,1,0,0,1,1,0,0,0.0
1464,Portugal,FRANCE,MARSEILLE,0,0,0,0,0,1949067,1956227,28448,100.0%,1,0,0,2,2,0,0,0.0
1374,Poland,HONG KONG S.A.R.,HONG KONG,0,0,0,0,0,1829112,1835821,26736,25.8%,0,2,0.9%,215,213,2,0.9%,0.0
1518,Portugal,VENEZUELA,CARACAS,0,0,0,0,0,2021040,2028471,29476,40.0%,0,2,16.7%,12,10,2,16.7%,0.0
148,Czech Republic,ALBANIA,TIRANA,0,0,0,0,0,195065,195621,3407,45.5%,1,4,25.0%,16,12,4,25.0%,0.0
908,Italy,BRAZIL,CURITIBA,0,0,0,0,0,1208014,1212384,17869,100.0%,0,0,0,31,31,0,0,0.0
1463,Portugal,EGYPT,CAIRO,0,0,0,0,0,1947734,1954889,28429,25.1%,14,326,13.0%,"2,5","2,174",326,13.0%,0.0
996,Italy,RUSSIAN FEDERATION,MOSCOW,0,0,0,0,0,1325303,1330115,19543,97.8%,30,8720,1.9%,"463,224","454,504","8,72",1.9%,0.0
783,Greece,SPAIN,MADRID,0,0,0,0,0,1041411,1045154,15490,50.0%,0,0,0,2,2,0,0,0.0
379,France,AUSTRALIA,SYDNEY,0,0,0,0,0,502948,504664,7802,6.6%,0,52,3.2%,"1,627","1,504",52,3.2%,0.0
777,Greece,SAUDI ARABIA,RIYADH,0,0,0,0,0,1033414,1037127,15376,83.8%,7,554,9.2%,"6,024","5,47",554,9.2%,0.0
371,France,ALBANIA,TIRANA,0,0,0,0,0,492285,493961,7650,33.3%,1,2,1.5%,137,130,2,1.5%,0.0
806,Greece,VENEZUELA,CARACAS,0,0,0,0,0,1072066,1075924,15928,33.3%,0,1,25.0%,4,3,1,25.0%,0.0
1472,Portugal,INDIA,NEW DELHI,0,0,0,0,0,1959730,1966930,28601,34.5%,4,"1,466",18.5%,"7,94","6,474","1,466",18.5%,0.0
493,France,PHILIPPINES,MANILA,2,1,0,1,50.0%,654890,657178,9972,26.6%,35,3581,10.8%,"33,195","29,467","3,582",10.8%,0.0
1620,Spain,CANADA,TORONTO,0,0,0,0,0,2156988,2164931,31417,2.2%,1,0,0,"1,243","1,207",0,0,0.0
163,Czech Republic,CHILE,SANTIAGO DE CHILE,0,0,0,0,0,215057,215689,3692,16.7%,0,0,0,6,6,0,0,0.0
98,Belgium,ISRAEL,JERUSALEM,0,0,0,0,0,128423,128729,2455,17.7%,19,267,35.1%,760,448,267,35.1%,0.0
1094,Lithuania,SWEDEN,STOCKHOLM,0,0,0,0,0,1455920,1461224,21408,100.0%,0,0,0,5,4,0,0,0.0
1482,Portugal,MOZAMBIQUE,BEIRA,0,0,0,0,0,1973058,1980308,28791,11.6%,37,66,3.5%,"1,861","1,795",66,3.5%,0.0
1077,Lithuania,INDIA,NEW DELHI,0,0,0,0,0,1433262,1438480,21084,54.7%,12,345,34.3%,"1,007",659,345,34.3%,0.0
721,Greece,BELGIUM,BRUSSELS,0,0,0,0,0,958775,962207,14310,100.0%,0,0,0,3,3,0,0,0.0
1388,Poland,LATVIA,RIGA,0,0,0,0,0,1847772,1854551,27002,100.0%,0,0,0,1,1,0,0,0.0
1785,Sweden,MEXICO,MEXICO CITY,0,0,0,0,0,2376905,2385676,34557,0,0,0,0,3,0,0,0,0.0
1613,Spain,BRAZIL,RIO DE JANEIRO,0,0,0,0,0,2147658,2155566,31284,29.5%,0,4,4.5%,89,78,4,4.5%,0.0
801,Greece,USA,"LOS ANGELES, CA",0,0,0,0,0,1065402,1069235,15832,50.5%,14,5,0.7%,669,664,5,0.7%,0.0
1487,Portugal,PANAMA,PANAMA CITY,0,0,0,0,0,1979722,1986997,28886,0,0,1,12.5%,8,7,1,12.5%,0.0
1020,Italy,TURKEY,IZMIR,0,0,0,0,0,1357291,1362223,20000,60.0%,0,692,4.0%,"17,101","16,409",692,4.0%,0.0
1022,Italy,UGANDA,KAMPALA,0,0,0,0,0,1359957,1364899,20038,73.4%,3,510,20.0%,"2,545","2,035",510,20.0%,0.0
307,Estonia,UKRAINE,KYIV,0,0,0,0,0,406984,408339,6432,79.9%,0,65,10.4%,626,561,65,10.4%,0.0
877,Hungary,USA,"LOS ANGELES, CA",0,0,0,0,0,1166697,1170911,17279,17.9%,1,3,1.3%,239,236,3,1.3%,0.0
852,Hungary,PORTUGAL,LISBON,0,0,0,0,0,1133376,1137465,16803,0,0,1,50.0%,2,1,1,50.0%,0.0
1101,Lithuania,USA,"WASHINGTON, DC",0,0,0,0,0,1465250,1470589,21541,67.6%,0,1,2.9%,35,34,1,2.9%,0.0
1266,Netherlands,UNITED ARAB EMIRATES,DUBAI,16,6,6,8,50.0%,1685167,1691333,24681,99.8%,189,"2,921",20.0%,"14,61","11,477","2,929",20.0%,0.0
196,Czech Republic,NORTH KOREA,PYONGYANG,0,0,0,0,0,259040,259838,4320,0,0,0,0,6,6,0,0,0.0
85,Belgium,EGYPT,CAIRO,0,0,0,0,0,111096,111337,2208,23.8%,15,1111,34.2%,"3,25","1,961","1,111",34.2%,0.0
593,Germany,GHANA,ACCRA,6,4,4,2,33.3%,788173,790963,11875,23.4%,10,2022,31.6%,"6,412","4,388","2,024",31.6%,0.0
1046,Latvia,BELARUS,MINSK,0,0,0,0,0,1391945,1397007,20494,85.6%,18,116,0.3%,"33,197","32,955",116,0.3%,0.0
870,Hungary,TURKEY,ISTANBUL,0,0,0,0,0,1157367,1161546,17145,89.5%,28,1339,6.6%,"20,212","18,873","1,339",6.6%,0.0
822,Hungary,CUBA,HAVANA,0,0,0,0,0,1093391,1097330,16232,26.9%,0,43,21.2%,203,160,43,21.2%,0.0
1786,Sweden,MOROCCO,RABAT,0,0,0,0,0,2378238,2387013,34576,42.9%,44,847,31.6%,"2,684","1,727",847,31.6%,0.0
1422,Poland,UKRAINE,KHARKIV,0,0,0,0,0,1893088,1900037,27649,66.2%,0,178,13.1%,"1,361","1,183",178,13.1%,0.0
1862,Switzerland,MOROCCO,RABAT,1,0,0,1,100.0%,2479533,2488690,36022,53.4%,2,662,17.0%,"3,903","3,24",663,17.0%,0.0
753,Greece,JAPAN,TOKYO,0,0,0,0,0,1001426,1005018,14919,43.0%,0,10,2.5%,408,398,10,2.5%,0.0
500,France,SAUDI ARABIA,JEDDAH,8,3,0,2,25.0%,664220,666543,10105,68.7%,25,7475,12.2%,"61,53","52,772","7,477",12.2%,0.0
1331,Norway,UGANDA,KAMPALA,0,0,0,0,0,1771801,1778293,25918,7.3%,3,97,28.1%,345,248,97,28.1%,0.0
422,France,DENMARK,COPENHAGEN,0,0,0,0,0,560260,562191,8621,0,0,0,0,10,9,0,0,0.0
470,France,MONACO,MONACO,0,0,0,0,0,624235,626408,9534,0,0,1,50.0%,2,1,1,50.0%,0.0
1601,Spain,ARGENTINA,ROSARIO (Santa Fé),0,0,0,0,0,2131665,2139512,31055,0,0,0,0,18,18,0,0,0.0
1097,Lithuania,UNITED KINGDOM,LONDON,0,0,0,0,0,1459919,1465237,21465,48.0%,2,10,1.7%,574,564,10,1.7%,0.0
1484,Portugal,NETHERLANDS,THE HAGUE,0,0,0,0,0,1975724,1982984,28829,0,0,0,0,1,1,0,0,0.0
1232,Netherlands,ROMANIA,BUCHAREST,0,0,0,0,0,1639851,1645847,24034,87.8%,0,33,7.4%,447,411,33,7.4%,0.0
364,Finland,UKRAINE,KYIV,3,3,0,0,0,482956,484596,7517,5.2%,8,33,0.7%,"4,787","4,74",33,0.7%,0.0
1308,Norway,KOSOVO,PRISTINA,0,0,0,0,0,1741146,1747523,25480,100.0%,"1,769",468,21.2%,"2,205","1,801",468,21.2%,0.0
1750,Spain,VIETNAM,HANOI,0,0,0,0,0,2330256,2338851,33891,2.2%,2,239,9.1%,"2,62","2,277",239,9.1%,0.0
1162,Netherlands,CANADA,OTTAWA,2,0,0,0,0,1546553,1552197,22702,96.3%,2,5,1.1%,444,432,5,1.1%,0.0
479,France,MYANMAR,YANGON,0,0,0,0,0,636231,638448,9705,10.3%,0,207,7.4%,"2,797","2,559",207,7.4%,0.0
878,Hungary,USA,"NEW YORK, NY",0,0,0,0,0,1168029,1172249,17298,23.0%,2,7,1.7%,422,415,7,1.7%,0.0
741,Greece,FRANCE,PARIS,0,0,0,0,0,985432,988964,14691,42.9%,5,0,0,12,12,0,0,0.0
429,France,FIJI,SUVA,0,0,0,0,0,569589,571556,8754,0,0,1,33.3%,3,2,1,33.3%,0.0
939,Italy,FINLAND,HELSINKI,0,0,0,0,0,1249332,1253858,18458,60.0%,0,1,9.1%,11,10,1,9.1%,0.0
1469,Portugal,GUINEA-BISSAU,BISSAU,0,0,0,0,0,1955731,1962916,28544,45.6%,5,"1,337",19.4%,"6,877","5,54","1,337",19.4%,0.0
497,France,RUSSIAN FEDERATION,MOSCOW,24,23,0,0,0,660222,662530,10048,52.0%,61,8798,2.3%,"378,377","366,117","8,798",2.3%,0.0
591,Germany,FRANCE,PARIS,0,0,0,0,0,785508,788287,11836,100.0%,0,0,0,2,2,0,0,0.0
213,Czech Republic,SWEDEN,STOCKHOLM,0,0,0,0,0,281698,282581,4644,0,0,0,0,1,1,0,0,0.0
1873,Switzerland,RUSSIAN FEDERATION,MOSCOW,1,1,0,0,0,2494194,2503406,36231,87.6%,52,243,1.2%,"20,304","20,061",243,1.2%,0.0
1536,Slovakia,INDONESIA,JAKARTA,0,0,0,0,0,2045031,2052552,29818,37.7%,1,1,0.3%,286,285,1,0.3%,0.0
572,Germany,CHINA,CHENGDU,0,0,0,0,0,760184,762868,11475,100.0%,6,525,2.6%,"20,506","19,981",525,2.6%,0.0
8,Austria,CANADA,OTTAWA,0,0,0,0,0,686,659,107,16.2%,1,26,3.8%,686,660,26,3.8%,0.0
641,Germany,NIGERIA,ABUJA,71,62,52,9,12.7%,852149,855180,12788,52.1%,169,42,3.1%,"1,429","1,378",51,3.6%,0.0
814,Hungary,BELARUS,MINSK,0,0,0,0,0,1082728,1086627,16080,66.6%,2,29,0.4%,"7,533","7,504",29,0.4%,0.0
1253,Netherlands,SURINAME,PARAMARIBO,46,35,33,1,2.2%,1667840,1673941,24433,99.5%,9,"1,508",8.9%,"16,929","15,333","1,509",8.9%,0.0
978,Italy,MYANMAR,YANGON,0,0,0,0,0,1301312,1306034,19201,16.7%,0,87,3.8%,"2,274","2,187",87,3.8%,0.0
759,Greece,LEBANON,BEIRUT,1,0,0,1,100.0%,1009423,1013045,15033,93.6%,114,1399,7.8%,"17,863","16,463","1,4",7.8%,0.0
1657,Spain,GUATEMALA,GUATEMALA CITY,2,2,0,0,0,2206303,2214431,32121,7.5%,1,0,0,143,137,0,0,0.0
1670,Spain,ISRAEL,JERUSALEM,8,7,0,1,12.5%,2223630,2231823,32368,14.5%,67,787,14.7%,"5,36","3,979",788,14.7%,0.0
473,France,MOROCCO,CASABLANCA,0,0,0,0,0,628234,630421,9591,37.3%,7,9066,8.7%,"104,809","94,231","9,066",8.7%,0.0
1287,Norway,BOSNIA AND HERZEGOVINA,SARAJEVO,0,0,0,0,0,1713156,1719428,25080,50.0%,0,0,0,6,6,0,0,0.0
