Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
France,SENEGAL,DAKAR,70,53,,6,8.6%,"666 885,91","669 218,91","10 142,94",27.6%,3,15665,36.3%,"43,215","26,752","15,671",36.3%
France,SERBIA,BELGRADE,,,,,,"668 218,74","670 556,76","10 161,97",28.8%,,8,12.3%,65,52,8,12.3%
France,SEYCHELLES,VICTORIA,,,,,,"669 551,57","671 894,60","10 181,00",50.0%,,,,2,2,,
France,SINGAPORE,SINGAPORE,3,2,,,,"670 884,40","673 232,45","10 200,03",49.9%,,182,1.8%,"9,986","9,694",182,1.8%
France,SOUTH AFRICA,CAPE TOWN,,,,,,"672 217,23","674 570,30","10 219,06",44.4%,1,233,2.1%,"11,193","10,883",233,2.1%
France,SOUTH AFRICA,JOHANNESBURG,4,4,,,,"673 550,06","675 908,14","10 238,09",49.3%,8,627,2.4%,"25,853","24,939",627,2.4%
France,SOUTH KOREA,SEOUL,,,,,,"674 882,89","677 245,99","10 257,11",6.4%,,22,2.6%,841,816,22,2.6%
France,SPAIN,MADRID,,,,,,"676 215,71","678 583,84","10 276,14",2.5%,,4,2.9%,136,122,4,2.9%
France,SRI LANKA,COLOMBO,,,,,,"677 548,54","679 921,68","10 295,17",21.2%,21,2812,21.2%,"13,236","10,26","2,812",21.2%
France,SUDAN,KHARTOUM,,,,,,"678 881,37","681 259,53","10 314,20",25.8%,52,812,25.1%,"3,236","2,272",812,25.1%
France,SURINAME,PARAMARIBO,,,,,,"680 214,20","682 597,37","10 333,23",10.1%,1,134,4.6%,"2,91","2,696",134,4.6%
France,SWEDEN,STOCKHOLM,,,,,,"681 547,03","683 935,22","10 352,26",,,1,14.3%,7,5,1,14.3%
France,SWITZERLAND,GENEVA,,,,,,"682 879,86","685 273,07","10 371,29",,,1,1.6%,62,57,1,1.6%
France,SYRIA,ALEPPO,,,,,,"684 212,69","686 610,91","10 390,31",,,1,,,,1,
France,TAIWAN,TAIPEI,3,3,,,,"685 545,51","687 948,76","10 409,34",5.1%,,9,2.8%,322,300,9,2.8%
France,TANZANIA,DAR ES SALAAM,,,,,,"686 878,34","689 286,60","10 428,37",31.9%,36,224,14.7%,"1,52","1,288",224,14.7%
France,THAILAND,BANGKOK,,,,,,"688 211,17","690 624,45","10 447,40",43.3%,1,1276,2.1%,"62,12","60,409","1,276",2.1%
France,TOGO,LOME,7,5,,,,"689 544,00","691 962,30","10 466,43",39.0%,1,1626,21.7%,"7,505","5,751","1,626",21.7%
France,TUNISIA,TUNIS,,,,,,"690 876,83","693 300,14","10 485,46",34.8%,47,26604,15.9%,"166,93","135,864","26,604",15.9%
France,TURKEY,ANKARA,3,3,,,,"692 209,66","694 637,99","10 504,49",27.5%,4,2440,9.0%,"27,243","24,477","2,44",9.0%
France,TURKEY,ISTANBUL,1,1,,,,"693 542,49","695 975,84","10 523,51",35.1%,2,5143,5.1%,"101,412","94,815","5,143",5.1%
France,UGANDA,KAMPALA,2,1,,,,"694 875,31","697 313,68","10 542,54",18.0%,,489,16.7%,"2,926","2,303",489,16.7%
France,UKRAINE,KYIV,10,8,,2,20.0%,"696 208,14","698 651,53","10 561,57",5.2%,1,232,12.2%,"1,916","1,636",234,12.2%
France,UNITED ARAB EMIRATES,ABU DHABI,5,5,,,,"697 540,97","699 989,37","10 580,60",29.2%,19,1186,9.9%,"11,969","10,652","1,186",9.9%
France,UNITED ARAB EMIRATES,DUBAI,13,5,,7,53.8%,"698 873,80","701 327,22","10 599,63",29.0%,106,4403,16.6%,"26,504","21,788","4,41",16.6%
France,UNITED KINGDOM,EDINBURGH,,,,,,"700 206,63","702 665,07","10 618,66",30.8%,,3,18.8%,16,13,3,18.8%
France,UNITED KINGDOM,LONDON,,,,,,"701 539,46","704 002,91","10 637,69",61.3%,74,1190,0.9%,"126,763","124,709","1,19",0.9%
France,URUGUAY,MONTEVIDEO,1,1,,,,"702 872,29","705 340,76","10 656,71",3.7%,,,,29,28,,
France,USA,"ATLANTA, GA",36,36,,,,"704 205,11","706 678,60","10 675,74",11.6%,,1,0.1%,"1,045","1,03",1,0.1%
France,USA,"BOSTON, MA",2,2,,,,"705 537,94","708 016,45","10 694,77",20.4%,,3,0.2%,"1,287","1,246",3,0.2%
France,USA,"CHICAGO, IL",,,,,,"706 870,77","709 354,30","10 713,80",22.9%,1,18,1.3%,"1,363","1,348",18,1.3%
France,USA,"HOUSTON, TX",8,8,,,,"708 203,60","710 692,14","10 732,83",12.4%,,9,0.8%,"1,167","1,161",9,0.8%
France,USA,"LOS ANGELES, CA",3,3,,,,"709 536,43","712 029,99","10 751,86",12.1%,,7,0.3%,"2,401","2,405",7,0.3%
France,USA,"MIAMI, FL",,,,,,"710 869,26","713 367,84","10 770,89",29.0%,,40,2.9%,"1,396","1,35",40,2.9%
France,USA,"NEW YORK, NY",4,4,,,,"712 202,09","714 705,68","10 789,91",21.5%,1,14,0.5%,"2,719","2,696",14,0.5%
France,USA,"SAN FRANCISCO, CA",,,,,,"713 534,91","716 043,53","10 808,94",39.3%,,,,"3,81","3,81",,
France,USA,"WASHINGTON, DC",21,20,,1,4.8%,"714 867,74","717 381,37","10 827,97",29.1%,13,1268,4.7%,"26,766","24,686","1,269",4.7%
France,UZBEKISTAN,TASHKENT,1,1,,,,"716 200,57","718 719,22","10 847,00",9.0%,40,731,13.6%,"5,383","4,507",731,13.6%
France,VANUATU,PORT VILA,,,,,,"717 533,40","720 057,07","10 866,03",25.3%,1,,,164,151,,
France,VENEZUELA,CARACAS,9,9,,,,"718 866,23","721 394,91","10 885,06",28.0%,,10,9.7%,112,102,10,8.9%
France,VIETNAM,HANOI,,,,,,"720 199,06","722 732,76","10 904,09",13.7%,216,2814,8.0%,"35,266","32,414","2,814",8.0%
France,VIETNAM,HO CHI MINH,,,,,,"721 531,89","724 070,60","10 923,11",7.1%,21,2651,7.8%,"34,061","30,896","2,651",7.8%
France,ZIMBABWE,HARARE,,,,,,"722 864,71","725 408,45","10 942,14",20.9%,,132,4.7%,"2,826","2,646",132,4.7%
Germany,ALBANIA,TIRANA,,,,,,"724 197,54","726 746,30","10 961,17",91.6%,24,19,12.7%,150,131,19,12.7%
Germany,ALGERIA,ALGIERS,,,,,,"725 530,37","728 084,14","10 980,20",29.9%,24,1200,22.6%,"5,301","4,101","1,2",22.6%
Germany,ANGOLA,LUANDA,1,1,1,,,"726 863,20","729 421,99","10 999,23",27.1%,1,837,39.6%,"2,114","1,277",837,39.6%
Germany,ARGENTINA,BUENOS AIRES,20,20,20,,,"728 196,03","730 759,84","11 018,26",100.0%,5,2,3.2%,83,81,2,2.4%
Germany,ARMENIA,YEREVAN,,,,,,"729 528,86","732 097,68","11 037,29",40.9%,5,1368,8.7%,"15,739","14,371","1,368",8.7%
Germany,AUSTRALIA,SYDNEY,,,,,,"730 861,69","733 435,53","11 056,31",96.8%,20,23,31.1%,74,51,23,31.1%
Germany,AUSTRIA,VIENNA,,,,,,"732 194,51","734 773,37","11 075,34",94.1%,6,,,23,23,,
Germany,AZERBAIJAN,BAKU,,,,,,"733 527,34","736 111,22","11 094,37",57.4%,1,1846,14.0%,"13,224","11,378","1,846",14.0%
Germany,BAHRAIN,MANAMA,1,1,1,,,"734 860,17","737 449,07","11 113,40",97.5%,14,198,2.2%,"8,972","8,774",198,2.2%
Germany,BANGLADESH,DHAKA,2,2,2,,,"736 193,00","738 786,91","11 132,43",98.6%,17,1072,18.3%,"5,856","4,784","1,072",18.3%
Germany,BELARUS,MINSK,4,4,4,,,"737 525,83","740 124,76","11 151,46",59.8%,23,327,0.9%,"35,048","34,721",327,0.9%
Germany,BELGIUM,BRUSSELS,,,,,,"738 858,66","741 462,60","11 170,49",,2,,,2,2,,
Germany,BENIN,COTONOU,,,,,,"740 191,49","742 800,45","11 189,51",20.9%,6,190,27.2%,699,509,190,27.2%
Germany,BOLIVIA,LA PAZ,6,6,6,,,"741 524,31","744 138,30","11 208,54",99.1%,7,60,3.1%,"1,944","1,884",60,3.1%
Germany,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,"742 857,14","745 476,14","11 227,57",91.5%,60,28,9.3%,300,272,28,9.3%
Germany,BOTSWANA,GABORONE,2,2,2,,,"744 189,97","746 813,99","11 246,60",98.9%,1,8,0.5%,"1,657","1,649",8,0.5%
Germany,BRAZIL,PORTO ALEGRE,,,,,,"745 522,80","748 151,84","11 265,63",76.5%,,1,5.6%,18,17,1,5.6%
Germany,BRAZIL,RECIFE,,,,,,"746 855,63","749 489,68","11 284,66",100.0%,,3,18.8%,16,13,3,18.8%
Germany,BRAZIL,RIO DE JANEIRO,,,,,,"748 188,46","750 827,53","11 303,69",97.8%,,11,19.6%,56,45,11,19.6%
Germany,BRAZIL,SAO PAULO,,,,,,"749 521,29","752 165,37","11 322,71",97.4%,1,34,22.7%,150,116,34,22.7%
Germany,BULGARIA,SOFIA,2,2,1,,,"750 854,11","753 503,22","11 341,74",88.0%,13,14,1.6%,863,849,14,1.6%
Germany,BURKINA FASO,OUAGADOUGOU,,,,,,"752 186,94","754 841,07","11 360,77",99.9%,6,206,15.9%,"1,299","1,093",206,15.9%
Germany,CAMBODIA,PHNOM PENH,,,,,,"753 519,77","756 178,91","11 379,80",29.6%,,422,12.0%,"3,526","3,104",422,12.0%
Germany,CAMEROON,YAONDE,,,,,,"754 852,60","757 516,76","11 398,83",17.3%,9,1355,27.9%,"4,857","3,502","1,355",27.9%
Germany,CANADA,TORONTO,3,3,1,,,"756 185,43","758 854,60","11 417,86",99.0%,33,91,3.7%,"2,432","2,341",91,3.7%
Germany,CHILE,SANTIAGO DE CHILE,3,3,3,,,"757 518,26","760 192,45","11 436,89",69.3%,2,,,119,119,,
Germany,CHINA,BEIJING,1,1,1,,,"758 851,09","761 530,30","11 455,91",93.0%,12,9561,6.8%,"140,217","130,656","9,561",6.8%
Germany,CHINA,CHENGDU,,,,,,"760 183,91","762 868,14","11 474,94",100.0%,6,525,2.6%,"20,506","19,981",525,2.6%
Germany,CHINA,GUANGZHOU (CANTON),,,,,,"761 516,74","764 205,99","11 493,97",82.8%,1,3382,4.0%,"84,037","80,655","3,382",4.0%
Germany,CHINA,SHANGHAI,,,,,,"762 849,57","765 543,84","11 513,00",93.4%,18,4546,2.6%,"172,584","168,038","4,546",2.6%
Germany,CHINA,SHENYANG,,,,,,"764 182,40","766 881,68","11 532,03",100.0%,5,762,3.8%,"20,119","19,357",762,3.8%
Germany,COLOMBIA,BOGOTA,15,15,12,,,"765 515,23","768 219,53","11 551,06",100.0%,13,7,6.3%,127,120,7,5.5%
Germany,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,,,,,,"766 848,06","769 557,37","11 570,09",89.1%,40,18,7.2%,250,232,18,7.2%
Germany,COSTA RICA,SAN JOSE,5,5,2,,,"768 180,89","770 895,22","11 589,11",93.1%,5,1,2.9%,40,39,1,2.5%
Germany,COTE D'IVOIRE,ABIDJAN,,,,,,"769 513,71","772 233,07","11 608,14",68.9%,1,846,34.2%,"2,474","1,628",846,34.2%
Germany,CROATIA,ZAGREB,2,2,2,,,"770 846,54","773 570,91","11 627,17",99.6%,,10,4.2%,242,232,10,4.1%
Germany,CUBA,HAVANA,,,,,,"772 179,37","774 908,76","11 646,20",99.7%,8,919,19.3%,"4,76","3,841",919,19.3%
Germany,CYPRUS,NICOSIA,1,1,1,,,"773 512,20","776 246,60","11 665,23",61.2%,336,132,7.6%,"1,747","1,615",132,7.6%
Germany,CZECH REPUBLIC,PRAGUE,,,,,,"774 845,03","777 584,45","11 684,26",100.0%,1,,,2,2,,
Germany,DENMARK,COPENHAGEN,,,,,,"776 177,86","778 922,30","11 703,29",100.0%,2,,,3,3,,
Germany,DOMINICAN REPUBLIC,SANTO DOMINGO,4,4,3,,,"777 510,69","780 260,14","11 722,31",53.5%,2,824,24.2%,"3,414","2,59",824,24.1%
Germany,ECUADOR,QUITO,4,3,3,1,25.0%,"778 843,51","781 597,99","11 741,34",97.4%,3,590,11.2%,"5,256","4,665",591,11.2%
Germany,EGYPT,CAIRO,1,1,1,,,"780 176,34","782 935,84","11 760,37",80.7%,315,5372,13.9%,"38,536","33,164","5,372",13.9%
Germany,EL SALVADOR,SAN SALVADOR,,,,,,"781 509,17","784 273,68","11 779,40",100.0%,,,,5,5,,
Germany,ETHIOPIA,ADDIS ABEBA,9,9,7,,,"782 842,00","785 611,53","11 798,43",20.3%,20,1090,25.6%,"4,274","3,184","1,09",25.5%
Germany,FINLAND,HELSINKI,,,,,,"784 174,83","786 949,37","11 817,46",100.0%,,,,3,3,,
Germany,FRANCE,PARIS,,,,,,"785 507,66","788 287,22","11 836,49",100.0%,,,,2,2,,
Germany,GEORGIA,TBILISSI,,,,,,"786 840,49","789 625,07","11 855,51",32.0%,5,113,34.9%,324,211,113,34.9%
Germany,GHANA,ACCRA,6,4,4,2,33.3%,"788 173,31","790 962,91","11 874,54",23.4%,10,2022,31.6%,"6,412","4,388","2,024",31.6%
Germany,GREECE,ATHENS,,,,,,"789 506,14","792 300,76","11 893,57",100.0%,4,,,11,11,,
Germany,GUATEMALA,GUATEMALA CITY,4,4,4,,,"790 838,97","793 638,60","11 912,60",100.0%,2,,,102,102,,
Germany,GUINEA,CONAKRY,,,,,,"792 171,80","794 976,45","11 931,63",34.2%,3,1616,52.3%,"3,087","1,471","1,616",52.3%
Germany,HONDURAS,TEGUCIGALPA,,,,,,"793 504,63","796 314,30","11 950,66",100.0%,,,,14,14,,
Germany,HONG KONG S.A.R.,HONG KONG,,,,,,"794 837,46","797 652,14","11 969,69",98.6%,132,18,0.8%,"2,209","2,191",18,0.8%
Germany,INDIA,BANGALORE,36,34,31,2,5.6%,"796 170,29","798 989,99","11 988,71",81.9%,55,2375,7.0%,"33,743","31,366","2,377",7.0%
Germany,INDIA,CHENNAI,44,33,24,11,25.0%,"797 503,11","800 327,84","12 007,74",81.2%,9,1683,7.6%,"22,133","20,439","1,694",7.7%
Germany,INDIA,KOLKATA,33,31,31,2,6.1%,"798 835,94","801 665,68","12 026,77",100.0%,,432,5.8%,"7,53","7,096",434,5.8%
Germany,INDIA,MUMBAI,176,154,114,22,12.5%,"800 168,77","803 003,53","12 045,80",79.0%,5,3813,6.6%,"58,076","54,241","3,835",6.6%
Germany,INDIA,NEW DELHI,136,109,97,27,19.9%,"801 501,60","804 341,37","12 064,83",97.7%,165,5536,12.1%,"45,944","40,381","5,563",12.1%
Germany,INDONESIA,JAKARTA,,,,,,"802 834,43","805 679,22","12 083,86",99.8%,18,379,1.4%,"27,779","27,4",379,1.4%
Germany,IRAN,TEHERAN,107,102,93,5,4.7%,"804 167,26","807 017,07","12 102,89",53.2%,209,10985,20.5%,"53,754","42,764","10,99",20.4%
Germany,IRAQ,BAGHDAD,1,1,1,,,"805 500,09","808 354,91","12 121,91",56.0%,13,962,20.6%,"4,661","3,699",962,20.6%
Germany,IRAQ,ERBIL,,,,,,"806 832,91","809 692,76","12 140,94",73.5%,15,14100,55.0%,"25,647","11,547","14,1",55.0%
Germany,IRELAND,DUBLIN,,,,,,"808 165,74","811 030,60","12 159,97",70.0%,4,43,3.9%,"1,089","1,046",43,3.9%
Germany,ISRAEL,TEL AVIV,2,2,2,,,"809 498,57","812 368,45","12 179,00",78.5%,3,7,0.6%,"1,263","1,256",7,0.6%
Germany,ITALY,ROME,,,,,,"810 831,40","813 706,30","12 198,03",100.0%,1,,,30,30,,
Germany,JAMAICA,KINGSTON,33,30,17,3,9.1%,"812 164,23","815 044,14","12 217,06",99.0%,3,140,10.4%,"1,377","1,234",143,10.4%
Germany,JAPAN,OSAKA,,,,,,"813 497,06","816 381,99","12 236,09",62.5%,2,15,1.8%,828,813,15,1.8%
Germany,JAPAN,TOKYO,,,,,,"814 829,89","817 719,84","12 255,11",99.8%,2,,,"1,816","1,816",,
Germany,JORDAN,AMMAN,5,5,5,,,"816 162,71","819 057,68","12 274,14",51.7%,253,961,10.0%,"9,576","8,615",961,10.0%
Germany,KAZAKHSTAN,ALMATY,,,,,,"817 495,54","820 395,53","12 293,17",49.1%,8,1526,7.9%,"19,205","17,679","1,526",7.9%
Germany,KAZAKHSTAN,ASTANA,,,,,,"818 828,37","821 733,37","12 312,20",27.6%,4,711,3.3%,"21,624","20,913",711,3.3%
Germany,KENYA,NAIROBI,1,1,1,,,"820 161,20","823 071,22","12 331,23",28.4%,16,990,16.1%,"6,143","5,153",990,16.1%
Germany,KOSOVO,PRISTINA,,,,,,"821 494,03","824 409,07","12 350,26",97.5%,25058,7431,22.8%,"32,529","25,098","7,431",22.8%
Germany,KUWAIT,KUWAIT,2,2,2,,,"822 826,86","825 746,91","12 369,29",100.0%,30,1479,3.0%,"48,51","47,031","1,479",3.0%
Germany,KYRGYZSTAN,BISHKEK,,,,,,"824 159,69","827 084,76","12 388,31",14.8%,2,767,6.9%,"11,064","10,297",767,6.9%
Germany,LAOS,VIENTIANE,,,,,,"825 492,51","828 422,60","12 407,34",53.1%,,64,3.4%,"1,861","1,797",64,3.4%
Germany,LATVIA,RIGA,,,,,,"826 825,34","829 760,45","12 426,37",100.0%,,,,3,3,,
Germany,LEBANON,BEIRUT,15,12,12,3,20.0%,"828 158,17","831 098,30","12 445,40",97.6%,189,3412,31.1%,"10,986","7,571","3,415",31.1%
Germany,LITHUANIA,VILNIUS,,,,,,"829 491,00","832 436,14","12 464,43",100.0%,,,,30,30,,
Germany,MALAYSIA,KUALA LUMPUR,3,3,3,,,"830 823,83","833 773,99","12 483,46",98.6%,14,89,10.6%,844,755,89,10.5%
Germany,MALI,BAMAKO,,,,,,"832 156,66","835 111,84","12 502,49",57.0%,2,348,36.6%,952,604,348,36.6%
Germany,MALTA,VALETTA,,,,,,"833 489,49","836 449,68","12 521,51",,,,,1,1,,
Germany,MAURITANIA,NOUAKCHOTT,,,,,,"834 822,31","837 787,53","12 540,54",89.0%,1,340,27.2%,"1,248",908,340,27.2%
Germany,MEXICO,MEXICO CITY,69,67,51,2,2.9%,"836 155,14","839 125,37","12 559,57",92.8%,4,1,0.5%,254,251,3,1.2%
Germany,MOLDOVA,CHISINAU,12,12,12,,,"837 487,97","840 463,22","12 578,60",93.4%,,12,7.3%,176,164,12,6.8%
Germany,MONGOLIA,ULAN BATOR,,,,,,"838 820,80","841 801,07","12 597,63",28.8%,5,1380,12.6%,"10,976","9,596","1,38",12.6%
Germany,MONTENEGRO,PODGORICA,,,,,,"840 153,63","843 138,91","12 616,66",97.7%,24,5,2.0%,247,242,5,2.0%
Germany,MOROCCO,RABAT,,,,,,"841 486,46","844 476,76","12 635,69",75.4%,4,5666,30.7%,"18,441","12,775","5,666",30.7%
Germany,MOZAMBIQUE,MAPUTO,,,,,,"842 819,29","845 814,60","12 654,71",34.3%,51,98,8.1%,"1,206","1,108",98,8.1%
Germany,MYANMAR,YANGON,3,3,3,,,"844 152,11","847 152,45","12 673,74",97.4%,,152,3.8%,"3,971","3,819",152,3.8%
Germany,NAMIBIA,WINDHOEK,,,,,,"845 484,94","848 490,30","12 692,77",52.7%,4,48,1.2%,"4,002","3,954",48,1.2%
Germany,NEPAL,KATHMANDU,,,,,,"846 817,77","849 828,14","12 711,80",99.2%,1,1060,20.8%,"5,087","4,027","1,06",20.8%
Germany,NETHERLANDS,AMSTERDAM,,,,,,"848 150,60","851 165,99","12 730,83",100.0%,,,,11,11,,
Germany,NEW ZEALAND,WELLINGTON,,,,,,"849 483,43","852 503,84","12 749,86",98.7%,2,2,0.4%,545,543,2,0.4%
Germany,NICARAGUA,MANAGUA,1,1,1,,,"850 816,26","853 841,68","12 768,89",100.0%,,,,8,8,,
Germany,NIGERIA,ABUJA,71,62,52,9,12.7%,"852 149,09","855 179,53","12 787,91",52.1%,169,42,3.1%,"1,429","1,378",51,3.6%
Germany,NIGERIA,LAGOS,132,38,20,94,71.2%,"853 481,91","856 517,37","12 806,94",49.8%,29,5056,53.3%,"9,621","4,471","5,15",53.5%
Germany,NORTH KOREA,PYONGYANG,,,,,,"854 814,74","857 855,22","12 825,97",32.7%,,13,20.0%,65,52,13,20.0%
Germany,NORTH MACEDONIA,SKOPJE,,,,,,"856 147,57","859 193,07","12 845,00",100.0%,18,7,7.4%,94,87,7,7.4%
Germany,OMAN,MUSCAT,,,,,,"857 480,40","860 530,91","12 864,03",98.1%,15,470,4.5%,"10,476","10,006",470,4.5%
Germany,PAKISTAN,ISLAMABAD,,,,,,"858 813,23","861 868,76","12 883,06",56.1%,41,2404,26.0%,"9,229","6,825","2,404",26.0%
Germany,PAKISTAN,KARACHI,10,7,4,3,30.0%,"860 146,06","863 206,60","12 902,09",99.9%,35,1814,17.3%,"10,477","8,66","1,817",17.3%
Germany,PALESTINIAN AUTHORITY,RAMALLAH,,,,,,"861 478,89","864 544,45","12 921,11",99.3%,555,593,12.7%,"4,685","4,092",593,12.7%
Germany,PANAMA,PANAMA CITY,3,3,3,,,"862 811,71","865 882,30","12 940,14",86.2%,1,10,14.5%,72,62,10,13.9%
Germany,PARAGUAY,ASUNCION,2,2,2,,,"864 144,54","867 220,14","12 959,17",100.0%,4,,,21,21,,
Germany,PERU,LIMA,2,2,2,,,"865 477,37","868 557,99","12 978,20",100.0%,1,1,2.4%,44,43,1,2.3%
Germany,PHILIPPINES,MANILA,,,,,,"866 810,20","869 895,84","12 997,23",98.5%,7,1939,10.3%,"18,829","16,89","1,939",10.3%
Germany,POLAND,WARSAW,,,,,,"868 143,03","871 233,68","13 016,26",85.0%,,,,20,20,,
Germany,PORTUGAL,LISBON,,,,,,"869 475,86","872 571,53","13 035,29",100.0%,,,,5,5,,
Germany,QATAR,DOHA,,,,,,"870 808,69","873 909,37","13 054,31",90.8%,274,1250,6.6%,"19,027","17,777","1,25",6.6%
Germany,ROMANIA,BUCHAREST,,,,,,"872 141,51","875 247,22","13 073,34",65.6%,,23,3.6%,645,622,23,3.6%
Germany,RUSSIAN FEDERATION,KALININGRAD,,,,,,"873 474,34","876 585,07","13 092,37",88.4%,,388,1.7%,"22,862","22,474",388,1.7%
Germany,RUSSIAN FEDERATION,MOSCOW,1,1,1,,,"874 807,17","877 922,91","13 111,40",99.9%,95,6434,3.2%,"199,627","193,193","6,434",3.2%
Germany,RUSSIAN FEDERATION,NOVOSIBIRSK,,,,,,"876 140,00","879 260,76","13 130,43",39.8%,2,1356,3.9%,"34,612","33,256","1,356",3.9%
Germany,RUSSIAN FEDERATION,ST. PETERSBURG,1,,,1,100.0%,"877 472,83","880 598,60","13 149,46",81.8%,35,176,0.9%,"19,168","18,991",177,0.9%
Germany,RUSSIAN FEDERATION,YEKATERINBURG,,,,,,"878 805,66","881 936,45","13 168,49",48.3%,2,1004,3.9%,"25,987","24,983","1,004",3.9%
Germany,RWANDA,KIGALI,,,,,,"880 138,49","883 274,30","13 187,51",98.9%,24,9,7.4%,121,112,9,7.4%
Germany,SAUDI ARABIA,JEDDAH,,,,,,"881 471,31","884 612,14","13 206,54",100.0%,2,59,0.4%,"16,107","16,048",59,0.4%
Germany,SAUDI ARABIA,RIYADH,,,,,,"882 804,14","885 949,99","13 225,57",91.6%,196,5367,11.3%,"47,372","42,005","5,367",11.3%
Germany,SENEGAL,DAKAR,,,,,,"884 136,97","887 287,84","13 244,60",47.9%,4,1076,36.6%,"2,943","1,867","1,076",36.6%
Germany,SERBIA,BELGRADE,2,2,2,,,"885 469,80","888 625,68","13 263,63",99.9%,53,50,3.2%,"1,557","1,507",50,3.2%
Germany,SINGAPORE,SINGAPORE,2,2,2,,,"886 802,63","889 963,53","13 282,66",100.0%,6,31,0.7%,"4,593","4,562",31,0.7%
Germany,SLOVENIA,LJUBLJANA,,,,,,"888 135,46","891 301,37","13 301,69",100.0%,11,13,17.8%,73,60,13,17.8%
Germany,SOUTH AFRICA,CAPE TOWN,,,,,,"889 468,29","892 639,22","13 320,71",99.9%,9,328,2.8%,"11,66","11,332",328,2.8%
Germany,SOUTH AFRICA,PRETORIA,2,2,2,,,"890 801,11","893 977,07","13 339,74",100.0%,7,432,2.1%,"20,509","20,077",432,2.1%
Germany,SOUTH KOREA,SEOUL,1,1,1,,,"892 133,94","895 314,91","13 358,77",96.9%,5,83,11.8%,703,620,83,11.8%
Germany,SPAIN,MADRID,3,3,2,,,"893 466,77","896 652,76","13 377,80",100.0%,20,,,38,38,,
Germany,SRI LANKA,COLOMBO,,,,,,"894 799,60","897 990,60","13 396,83",97.4%,2,1432,18.1%,"7,912","6,48","1,432",18.1%
Germany,SUDAN,KHARTOUM,5,5,5,,,"896 132,43","899 328,45","13 415,86",44.5%,164,470,22.5%,"2,09","1,62",470,22.5%
Germany,SWEDEN,STOCKHOLM,1,1,1,,,"897 465,26","900 666,30","13 434,89",100.0%,,,,4,4,,
Germany,SWITZERLAND,BERN,,,,,,"898 798,09","902 004,14","13 453,91",100.0%,2,,,9,9,,
Germany,TAIWAN,TAIPEI,,,,,,"900 130,91","903 341,99","13 472,94",48.3%,,23,6.8%,340,317,23,6.8%
Germany,TAJIKISTAN,DUSHANBE,,,,,,"901 463,74","904 679,84","13 491,97",28.2%,11,901,19.3%,"4,662","3,761",901,19.3%
Germany,TANZANIA,DAR ES SALAAM,,,,,,"902 796,57","906 017,68","13 511,00",99.8%,3,262,9.2%,"2,856","2,594",262,9.2%
Germany,THAILAND,BANGKOK,1,1,1,,,"904 129,40","907 355,53","13 530,03",99.8%,5,1372,2.4%,"58,364","56,992","1,372",2.4%
Germany,TOGO,LOME,,,,,,"905 462,23","908 693,37","13 549,06",27.9%,1,385,30.9%,"1,247",862,385,30.9%
Germany,TRINIDAD AND TOBAGO,PORT OF SPAIN,48,48,34,,,"906 795,06","910 031,22","13 568,09",91.9%,2,4,3.4%,165,161,4,2.4%
Germany,TUNISIA,TUNIS,9,3,2,6,66.7%,"908 127,89","911 369,07","13 587,11",71.6%,63,3421,16.6%,"20,615","17,188","3,427",16.6%
Germany,TURKEY,ANKARA,43,39,38,4,9.3%,"909 460,71","912 706,91","13 606,14",95.4%,29,11809,16.3%,"72,32","60,507","11,813",16.3%
Germany,TURKEY,ISTANBUL,72,54,54,18,25.0%,"910 793,54","914 044,76","13 625,17",99.3%,77,13804,11.0%,"125,774","111,952","13,822",11.0%
Germany,TURKEY,IZMIR,22,15,15,7,31.8%,"912 126,37","915 382,60","13 644,20",85.6%,17,2833,7.2%,"39,366","36,526","2,84",7.2%
Germany,TURKMENISTAN,ASHGABAT,,,,,,"913 459,20","916 720,45","13 663,23",39.9%,9,127,2.9%,"4,362","4,235",127,2.9%
Germany,UGANDA,KAMPALA,3,3,2,,,"914 792,03","918 058,30","13 682,26",19.2%,11,617,15.7%,"3,93","3,313",617,15.7%
Germany,UKRAINE,KYIV,,,,,,"916 124,86","919 396,14","13 701,29",61.6%,43,307,5.6%,"5,435","5,128",307,5.6%
Germany,UNITED ARAB EMIRATES,DUBAI,4,3,2,1,25.0%,"917 457,69","920 733,99","13 720,31",98.7%,840,5369,18.0%,"29,871","24,501","5,37",18.0%
Germany,UNITED KINGDOM,EDINBURGH,,,,,,"918 790,51","922 071,84","13 739,34",98.9%,,29,1.2%,"2,487","2,458",29,1.2%
Germany,UNITED KINGDOM,LONDON,,,,,,"920 123,34","923 409,68","13 758,37",96.3%,381,192,0.8%,"23,743","23,551",192,0.8%
